ESTACIONES;LONEST;LATEST;ELEEST;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;PRONO1;PRONO2;PRONO3
CACHICADAN;-78.153;-8.102;2890;140.8;171.5;452.5;145.3;84.3;4.9;0.1;12.2;54.6;104.5;29;159.3;0;0.01;28.12
MOLLEPATA;-77.956;-8.195;2580;79.5;126.2;257.2;56.9;;1;0;1.5;9.1;59.1;25.5;55;0;0.88;76.98
SIHUAS;-77.65;-8.567;3375;168.5;133.7;270.2;191.1;;24.6;0;5.8;68.2;80.3;141;186.9;0.01;6.61;70.81
YANTAC;-76.4;-11.334;4684;288.1;180.4;200.3;133.4;138;8.4;3.2;37.2;79.1;121.6;102;93.6;20.78;36.4;73.31
PACCHO;-76.934;-10.95;3110;205.3;303.5;388.1;60.9;3.8;0;0;;2.9;22.5;9.9;;1.15;0.09;17.34
ANDAJES;-76.9;-10.784;2725;123.7;140;190.4;9;;0;0;0;9.5;27.5;9;;1;1.52;36.9
PALLAC;-76.8;-11.35;2570;198.9;158.3;239.5;26;0;0;0;;0;1.9;2;;0;0.06;6.91
PARQUIN;-76.717;-10.967;3590;190.1;195.5;269.6;53.8;;0;0;0;8.1;84.7;23.2;69.6;0.52;9.32;24.09
SANTAEULALIA;-76.667;-11.918;945;64.4;8.2;52.1;0;0;0;0;0;0;0;0;0;0;0;0
PIRCA;-76.65;-11.234;3300;148.4;140.4;178.9;45.6;10.6;0;0;;7.1;37;11.8;29.6;6.57;5.54;33.26
LACHAQUI;-76.617;-11.55;3895;192;177.9;276.1;30.7;3.8;0;0;0;5.2;17.9;7.8;7.1;0.27;0.03;6.86
HUAROS;-76.567;-11.4;3741;189.1;170.3;227.2;15.9;9.7;1.9;0;0.2;15.5;33.9;16;25.7;2.84;0.91;24.3
CARAMPOMA;-76.516;-11.655;3426;189.1;154.3;197.4;38.5;9;0;0;0;9.9;42;17.5;18.2;9.59;0.88;38.15
SANTIAGODETUNA;-76.517;-11.984;3230;279.4;232.4;310.2;0;0;0;0;0;0;0;3;;0;0;0.09
RICRAN;-75.525;-11.542;3687;183;163.8;177.1;68.9;46.7;0.7;1.5;1.2;14;59;70.1;109.2;14.02;89.12;114.92
INGENIO;-75.288;-11.881;3422;188.7;114.2;119;63.8;21.1;2.5;8.3;2.5;42.5;54.8;95.8;97.1;9.95;21.27;42.96
CASAPALCA;-76.234;-11.648;4100;220.3;174.4;134.4;74.6;38.6;1.6;1;14;40.1;70.6;32.3;83;7.51;32.47;73.01
MILLOC;-76.35;-11.572;4361;215.4;216.4;223.4;108.2;29.5;2.9;0;0;40.9;59.1;32.6;113.9;9.45;23.98;86.19
SANLAZARODEESCOMARCA;-76.35;-12.184;3840;226.9;165.5;298.3;18.5;;0;0;0;5.9;8.1;5.6;;0;0;5.73
HUANGASCAR;-75.834;-12.899;2533;210.8;135.6;282.1;0;0;0;0;0;0;3.2;0;0;0.01;0.02;2.87
SANJUANDEYANAC;-75.796;-13.22;2540;167.6;71;148.7;4.5;0.7;0;0;0;0.3;4.5;0.9;2.4;0.14;0;0.5
SANJUANDECASTROVIRREYNA;-75.644;-13.203;2398;179.4;77.5;130.1;1;1;0;0;0.1;1.2;3.8;1.8;4.6;0.08;0;2.68
HUANCALPI;-75.237;-12.542;4450;297.1;141.9;171.1;132.8;69;7.2;0;2;56.8;75.7;50.7;126.8;18.42;43.11;99.14
AYABACA;-79.729;-4.644;2830;144.4;297.5;561.3;267.5;222;10.6;0;16.7;0;115.4;14.4;71.5;0;0;37.11
HUANCABAMBA;-79.55;-5.25;3177;69.6;71.5;237.2;70;37.7;14;0;6.7;4.2;32.9;14.61;30.1;0.37;0.08;68.94
HUARMACA;-79.52;-5.565;2244;219.8;409.3;757;193.4;156.9;11.7;0.6;10.2;13.7;15.7;5.96;33.7;0;0;49.7
CHONTALI;-79.085;-5.644;1652;148;132.5;343.7;218.7;153.8;90.8;35.6;51;45.1;98.4;44.2;55.6;31.73;23.66;105.47
AUGUSTOWEBERBAUER;-78.485;-7.167;2660;77.7;72.6;138.9;81.5;46;11.2;2.5;21.1;21.7;65.3;63.4;143.8;0;0.75;48.73
NIEPOS;-79.129;-6.925;2424;186.8;269.4;661.3;126.9;77.2;32.7;0;74.6;56.4;72.8;8.9;26.6;0;0;7.67
INCAHUASI;-79.339;-6.237;2650;94.1;172;425.4;102.1;127.6;5.2;0;36.8;22.6;22.2;10.8;10.8;9.8;6.87;31.1
NAMORA;-78.339;-7.203;2782;143.7;35.3;240.7;103.4;93;25.5;0;18.2;23.3;91.6;42.5;114.3;0;0.31;27.93
LLAMA;-79.123;-6.515;2079;155.6;469.5;817.2;67.4;146.1;22.5;0;1.7;33.8;36.5;13.2;5.2;0.08;0.09;11.56
HUAMBOS;-78.966;-6.458;2213;80.1;73.6;265.9;57;101.6;50.9;2.2;27.7;62.7;64.6;49.7;16.9;1.05;0.44;20.29
SANTACRUZ;-78.949;-6.627;2039;79.7;49.8;213.6;56.2;74.4;25.5;0.5;25.6;82.3;68.9;30.6;19.4;0.02;0.01;20.63
CONTUMAZA;-78.83;-7.356;2610;136.7;469.8;769.8;61.4;24;13.1;0;6.8;2.6;28.3;10.1;24.1;0;0;1.16
GRANJAPORCON;-78.627;-7.034;2980;156;235.8;367;133.3;147.6;43.9;1.2;49.9;51.7;146.8;37.7;220.4;0;0.01;70.47
BAMBAMARCA;-78.525;-6.678;2577;115;57.4;193.7;83.9;67.4;26.9;0;19.1;44.3;132.7;60.4;48.2;0.06;4.63;65.26
SANJUAN;-78.491;-7.288;2469;268.2;182.9;453.1;150.1;65.6;19.3;0.3;6.2;5.1;116.6;19.4;115.6;0;0.16;23.76
SANMARCOS;-78.169;-7.322;2298;96.1;47.1;171.5;98.3;26.6;9;0;10.6;36.5;138.1;33.2;135.3;0;0.01;20.83
CAJABAMBA;-78.051;-7.627;2612;103.7;145.6;169.3;90.4;141.8;17;0;18.8;26.5;127.3;27.8;226.9;0;1.25;26.49
HUAMACHUCO;-78.051;-7.83;3290;142.3;104.2;213.1;118.3;85.2;23.5;0.2;28.6;28;90.3;39.2;170.5;0;2.23;35.35
LLAPA;-78.83;-7;2900;134.5;194.9;351.4;141.3;60.3;13.7;0.7;20.2;28.1;99.2;64.6;103.1;0;0.05;64.45
MAGDALENA;-78.661;-7.254;1257;71.5;61.4;270.5;55.7;10;2.8;0;1.1;2.4;31.7;7.8;37.4;0;0;7.23
ASUNCION;-78.516;-7.312;2194;268.2;285.1;558.5;145.8;64.5;6.5;0;3.4;7.6;113.8;21.9;101.3;0;0.16;23.76
CHANCAYBANOS;-78.881;-6.576;1575;105;75.4;355.2;99.3;95.9;95.4;0;68.9;69.2;57.2;45.4;25.7;0.38;0.13;32.92
TOCMOCHE;-79.356;-6.407;1450;124.7;540.3;701.8;183.4;75.5;1.8;0;5.8;14.2;11.8;1;0;0;0;28.96
UDIMA;-79.084;-6.813;2377;177.5;212;460.8;77.8;120.9;61.5;0.9;29.4;64.1;60.8;35.8;20.9;0;0;3.42
LIVES;-79.034;-7.085;1800;98.4;282.5;465.1;51.6;18;1.4;0;0.7;9;84.7;5;46.3;0;0;9.16
CHILETE;-78.838;-7.224;859;32.6;82.4;146.3;10.2;0;0;0;0;0;9.7;2.5;20.3;0;0;1.5
CHUGUR;-78.746;-6.678;2701;228.6;334.2;515;200.5;172.7;39.2;0;89.5;78.7;258.3;110.9;187.8;0.02;1.66;56.27
CACHACHI;-78.271;-7.458;3267;148;88.5;306.1;96.3;81.2;34.3;0;19.7;26;120.7;34.8;145.1;0;0;32.4
HUANGACOCHA;-78.068;-7.937;3780;193;162.5;345.4;132.7;118.6;;1.8;19.6;28.5;97.5;37.6;194;0.23;1.72;83.06
HUAMANI;-75.593;-13.847;1060;88.8;10.9;22.9;3.6;0.1;0.2;0;0;0.2;0.1;0;0.1;0;0;0
OLLACHEA;-70.498;-13.804;3420;214.2;228.7;194.2;55.1;39;;16.8;17.2;85.6;42.7;106.4;140.4;0.62;8.31;102.88
PUNO;-70.018;-15.823;3840;311.3;119.7;140.2;45.6;21.7;;;0;62.3;65.3;24.3;31.6;1.22;50.78;19.33
PUQUIO;-74.136;-14.712;2977;350.4;121;227.5;22.6;27.9;9.4;2.8;0;19.6;20.2;0;10.6;5.41;0.19;15.34
CORACORA;-73.784;-15.017;3172;273.2;93.4;124.1;17.2;4.1;0;0.1;0;0.7;1.5;4.4;;9.64;0.57;16.21
PAUZA;-73.356;-15.288;2652;139.8;54.3;117.1;5.4;10.8;1.3;0;0;7.4;4.9;0.4;5.6;5.51;0.39;25.98
CARAVELI;-73.362;-15.771;1779;27.3;16.3;11.9;0;0;0;0;0;0;0;0;0;0;0;0
COTAHUASI;-72.894;-15.211;2675;169.8;75.3;127.5;3.3;3.2;0.5;1.4;0;1.8;6.2;3.1;;16.92;5.44;16.52
CHUQUIBAMBA;-72.649;-15.838;2832;201.2;79.1;131.9;0;2.8;0;0;0;3.3;0.1;0;4.4;0.38;0.01;6.32
PAMPACOLCA;-72.568;-15.714;2950;166.2;61.9;147.3;0.9;7.6;0;0.2;0;1.3;0.2;0;14.5;9.92;0.53;3.78
SIBAYO;-71.453;-15.486;3827;188.5;107.3;176.9;57.4;24.71;1.3;5.7;0;11.1;10.6;30.7;91.3;24.09;29.85;18.49
CHIVAY;-71.597;-15.638;3661;223.2;87.9;106.2;23.8;14;0;2;0;11.4;8.9;21.9;53.1;22.44;29.06;16.37
CHUQUIBAMBILLA;-70.728;-14.796;3910;137.3;107.6;155.1;35.8;32.2;;3.1;0;55.6;42.2;80.1;77;5.18;5.51;20.45
IMATA;-71.088;-15.837;4445;189.2;103.7;131.4;25.6;10.6;0.5;0;0;6.5;3.9;15.7;48;15.04;31.4;20.69
AYAVIRI;-70.593;-14.881;3920;;64.1;124.3;36.1;32.8;0;9.4;0;28.8;41.4;63.8;87.2;5.42;7.48;20.83
PROGRESO;-70.356;-14.695;3905;109.8;79.2;105.6;107;36.1;;;0.4;55.4;46.3;37.7;51.7;6.32;13.09;20.29
LAMPA;-70.373;-15.356;3900;164.3;133.6;175.8;65.2;24.5;0.1;5.1;0.3;50.6;60;77.3;111.3;2.78;33.94;24.21
CABANILLAS;-70.346;-15.639;3890;135.2;105.4;125.9;40.3;12.8;3;3;0;43.9;68.5;79.2;118.9;1.89;52.83;15.36
AZANGARO;-70.191;-14.915;3863;93.2;43;118.6;36.2;33.5;0.4;7.3;0;62.8;33.5;26.4;33;5.59;11.02;18.91
ARAPA;-70.119;-15.136;3920;68.1;105.1;121.8;57.3;31.7;0;12.8;0;69.8;67.4;46.7;67.3;1.33;7.14;22.41
MUNANI;-69.966;-14.779;4119;85.1;54.1;126.3;65.3;24.6;;4.5;3.7;60.4;58.3;66.8;50.2;5.16;5.76;38.46
HUANCANE;-69.763;-15.203;3860;115.2;46;104;49.8;42.9;1.2;7.4;0;93.7;65.2;26.7;44;2.15;9.87;33.9
HUARAYAMOHO;-69.491;-15.39;3890;175;67.6;218.2;88.2;40.3;0;2.5;0;62.3;73.6;41.3;87.6;1.3;42.83;21.77
CAPACHICA;-69.844;-15.616;3819;166.5;86.5;135.2;66;42.2;0;7.5;0;79.4;63.1;33.2;30.1;5.68;36.97;13.58
CABANACONDE;-71.969;-15.619;3379;222.7;93.6;159.8;9.6;5.32;0;0.8;0;5.4;4.7;5.2;45.1;17.1;6.93;5.27
SALAMANCA;-72.834;-15.5;3303;154.4;62.7;179.6;7.9;2.6;0;1.5;0;2;3.4;0;32.6;19.33;1.08;12.39
CRUCEROALTO;-70.917;-15.767;4470;234.9;105.2;209;34.9;9.4;0.7;1.7;0;8.9;8.1;33.8;;10.97;26.97;19.06
LAJOYA;-71.919;-16.593;1292;22.1;0;3.3;0;0;0;0;0;0;0;0;0.1;0;0;0.01
PAMPADEMAJES;-72.211;-16.328;1434;19.6;1.7;5.3;0;0.1;0;0;0;0;0;0;0.3;0;0;0.22
MOQUEGUA;-70.932;-17.169;1450;21.8;3.8;0.9;0.2;0.4;0.1;0;0;0;0;0;0.8;0;0;0
CALANA;-70.186;-17.949;871;0.4;3.6;0;0;0.5;1.8;6.7;2.3;7.3;0.3;3.5;0;0;0;0.01
PUCARA;-70.373;-15.034;3885;76.2;115.2;103.6;50;39.2;;;0;63.7;51.8;76.6;64;3.77;13.27;18.37
TARACO;-69.983;-15.305;3820;60.8;71;82.5;54.6;51.2;;;0;43.2;99.8;21;52.8;2.1;14.4;16.16
ISLASOTO;-69.491;-15.559;3853;191.9;165.9;234.9;101.4;55.9;3.6;6.6;0.4;83.5;39.5;7.9;58.1;5.26;35.36;13.17
ISLATAQUILE;-69.695;-15.779;3815;192.9;108.8;169.8;46.5;46.1;0.4;2.2;0;77.3;81.6;25;70.5;18.35;49.09;12.82
ISLASUANA;-68.864;-16.339;3845;161.9;122.2;187.7;61.3;93.1;0;3.6;0;59.2;34.7;76.9;112.8;8.98;37.7;17.37
LIMBANI;-69.684;-14.127;3183;;212.3;223.5;98.2;100.1;31.2;27.8;53.6;128;66.2;72;;5.86;15.56;57.59
ANANEA;-69.534;-14.679;4660;;98;111.4;81;24.5;2;3.7;9.8;67;54.4;56.7;108.3;19.96;35.32;129.95
APLAO;-72.491;-16.069;645;11;0;0;0;0.1;0;0;0;0.5;0;0;0.1;0;0;0.28
LAPAMPILLA;-71.517;-16.403;2400;103.9;50.6;42.8;0;0.5;0;0;0;0.4;0;0.3;5.2;0;0;0.2
ELFRAYLE;-71.189;-16.155;4119;161.8;62.5;86.1;9.4;5;0;0;0;5.1;0.2;31;22.9;6.09;26.37;8.31
OMATE;-70.983;-16.678;2080;163.9;100.3;71.4;0;0.3;0;0;0;0.1;0;1.2;16.4;0.07;0;0.68
UBINAS;-70.857;-16.383;3491;191.8;86.2;89.1;1.5;2.4;0;0;0;3;0;13.2;14.1;3.84;3.68;1.1
YACANGO;-70.866;-17.094;2091;107.3;45.6;39.6;0;0;0;0;0;0;0;0;4.6;0.01;0;0.35
CHUAPALCA;-69.644;-17.305;4177;130.6;81.1;105.3;22.4;3;0.3;0;0.1;4.4;2;14.4;;3.75;3.23;4.84
YANAQUIHUA;-72.876;-15.777;3007;182.9;65.2;98.1;0.3;2.3;0;0;0;4;0.1;0;;0.01;0;3.16
CANDARAVE;-70.254;-17.271;3435;113.9;68.1;71.8;0;0;0;0;0;0;0;0;31.8;0.96;0.02;7.91
TARATA;-70.034;-17.474;3050;171;94.4;72.6;0;0;0;0;0;0;0;0.1;24;0.3;0.01;3.45
MAZOCRUZ;-69.712;-16.746;3970;208.6;84;101.6;7;13.2;0;3.4;0.4;24;7.2;22.6;58.8;4.97;2.5;13.21
ILAVE;-69.644;-16.085;3850;219.4;123.8;106.5;32.3;57.7;9.1;14.5;0;44.3;24.3;30.8;49.5;6.31;37.98;14.19
JULI;-69.457;-16.203;3825;325.5;194.4;152.3;43.5;35.3;0.1;8;0.1;63.9;26.1;56.6;83.1;4.75;37.41;13.9
DESAGUADERO;-69.04;-16.569;3860;270.4;138.2;141.4;39.7;53.9;0;4.6;0;62.4;44.1;16.6;59.1;5.67;30.28;15.15
LARAQUERI;-70.068;-16.153;3970;277.3;169.1;122.2;37.3;10.5;0;10.6;0;32.4;54.8;14.2;60.3;8.14;16.09;24.01
CRUCERO;-70.024;-14.363;4130;72.5;58.8;95.4;38.2;14.8;0;2.7;0;25.1;38.5;34.4;45.9;7.05;2.84;53.46
HUAC-HUAS;-74.941;-14.132;3180;548.8;354.1;404;11;0.1;0;0;0;0.8;0;0.9;7.6;0;0;0.1
CUSICANCHA;-75.305;-13.491;2657;223.1;144.5;144.2;23.4;9.8;0;0;0.2;1.2;11.4;3.4;11;0.24;0;1.45
TAMBO;-75.271;-13.695;3113;355;138.2;163.6;6.2;4;0;0;0;0.2;18.3;0.1;21.1;0;0;0.02
SANTIAGODECHOCORVOS;-75.254;-13.83;2794;233.3;96.6;200.2;12.4;0.2;0;0;0.1;0.4;0.2;0.2;;0;0;0
VILCASHUAMAN;-73.949;-13.644;3394;259;204.6;121.7;78.5;40.7;4;11.2;0.7;30.8;50.2;55.3;119.7;1.24;85.96;66.08
CHILCAYOC;-73.717;-13.867;3441;246.7;253.6;238;41.7;40.6;2.7;5.2;2.1;51.8;50.1;51.2;94.6;0.43;54;60.48
CHICHAS;-72.917;-15.545;2120;143.9;43.7;91.8;0;0.3;0;0.1;0;2;0;0;13.3;1.67;0;1.38
PULLHUAY;-72.767;-15.15;3113;248.1;185.7;241;60.9;12.2;0;0;0;1.5;12.2;17.6;30.7;10.52;13.75;20.82
ANDAHUA;-72.349;-15.494;3528;151.9;71.4;105.1;6.2;8.3;0.1;1.9;0;4.4;7.8;8.4;40.8;14.41;2.21;20.54
ORCOPAMPA;-72.339;-15.261;3801;265.1;84.4;216.7;26.1;16.4;0.1;2.9;0;7.4;11.6;7.9;40.8;15.47;14.17;20.78
CHACHAS;-72.267;-15.499;3130;138.8;71.7;91.4;12;7.6;0.1;0.8;0.1;3.9;5.9;1.4;45.7;6.62;1.44;2.78
AYO;-72.27;-15.679;1956;51.4;27.4;36.9;6;1;0;0;0;0;1.5;;;1.26;0;0.21
CHOCO;-72.117;-15.567;3192;140.4;78.6;76.1;3.6;1.2;0;0;0;6.5;0.1;0.1;23;10.65;1.8;1.57
HUAMBO;-72.1;-15.734;3500;156;44.6;115;4;3.3;0;0;0;2.9;1.8;0;21.7;0.95;0.04;0.49
MADRIGAL;-71.812;-15.617;3262;243.1;84.6;137.4;11.2;7.4;0;0;0;7.9;13.1;22.8;49.7;19.92;19.74;12.67
TISCO;-71.45;-15.35;4175;253.6;158.8;241.9;50;24.2;0.8;2.1;0.1;20.8;29.5;35.7;;6.33;54.66;28.15
PORPERA;-71.317;-15.35;4152;263.9;129.5;237.7;46.6;26.2;0;5.4;0;22.6;35.6;32.3;79.1;6.33;54.66;28.15
CUYOCUYO;-69.542;-14.474;3494;89.5;107.9;118.6;47;31.8;1.7;2.9;13.2;45.4;28.6;45.2;91.6;11.83;33.75;200.87
PAMPADEARRIEROS;-71.589;-16.063;3715;211;87.6;98;0.2;4.9;0;0;0;0.5;0;1.2;24;3.04;7.06;3.28
PILLONES;-71.217;-15.981;4431;139.1;78;88.2;23.6;10.2;0.1;0.3;0;9.3;0.7;33.7;21.9;12.78;30.86;10.91
LASSALINAS;-71.148;-16.318;4322;200.1;52.6;126.5;2.8;17.2;0;0.6;0;9.5;8;30.9;;4.2;26.73;12.6
QUINISTAQUILLAS;-70.898;-16.779;1590;83;21.7;40.3;0;0;0;0;0;0;0;0.1;9.1;0;0;0.08
CALACOA;-70.683;-16.735;3260;384.4;113.2;189.2;0;2.5;0;0;0;0;0.1;4.1;50.9;0.13;3.29;5.41
PAMPAUMALZO;-70.424;-16.875;4609;151;56.6;86.2;29.4;5.5;0;0;0;7.2;0;6.5;48.6;3.74;14.38;13.37
CAIRANI;-70.339;-17.288;3920;80.5;53.2;41.3;0;0.2;0;0;0;0.1;0;0.3;15.8;0.6;0.17;6.19
SUSAPAYA;-70.133;-17.351;3420;129.3;81.7;81;0;0;0.1;0;0;0.3;0.2;0.2;31.4;0.41;0;7.63
SITAJARA;-70.136;-17.373;3132;119.2;66.6;82.5;0;0.2;0.1;0;0;0.2;0;0.1;25.4;0.18;0;1.23
TALABAYA;-70;-17.559;3420;172.1;89.8;90.6;0;0.1;0.1;0;0;0.5;0.2;0.3;13.9;0.3;0.01;3.45
CAPAZO;-69.746;-17.186;4419;143.1;122;125.9;10.8;3.3;0.1;0;0;5.6;2.7;20.2;35;6.39;2.25;5.78
PAUCARANI;-69.779;-17.525;4556;143.5;81;92.4;4.5;2.3;0;0;0;2;1.1;12.1;54.9;13.51;7.21;18.92
CHACHAPOYAS;-77.867;-6.208;2490;103.4;111.4;145;112.4;47.5;17.5;2.9;76.4;32.6;70.1;66.3;112.3;9.55;10.8;80.76
